"StopUID","StopID","StopName.Zh_tw","StopName.En","StopPosition.PositionLat","StopPosition.PositionLon"
"THB-VO14-2295215","295215","中學路","Zhongxue Road","22.88282","120.47867"
"THB-VO14-2295010","295010","秋涼山","Qiuliangshan","22.87956","120.47664"
"THB-VO14-2295011","295011","頭林巷口","Toulin Lane Intersection","22.87662","120.47539"
"THB-VO14-2295012","295012","花旗山莊","Huaqi Villa","22.87297","120.47426"
"THB-VO14-2295013","295013","旗南一路","Qinan 1st Road","22.86984","120.47295"
"THB-VO14-2295014","295014","和昌","Hechang","22.86462","120.47055"
"THB-VO14-2295015","295015","武鹿","Wulu","22.86116","120.46857"
"THB-VO14-2295016","295016","衛光村","Weiguang Village","22.85679","120.46857"
"THB-VO14-2295017","295017","大山","Dashan","22.85314","120.46789"
"THB-VO14-2295018","295018","清水寺","Qingshui Temple (Xizhou)","22.8506","120.46688"
"THB-VO14-2295019","295019","溪洲國小","Xizhou Elementary School","22.84735","120.46552"
"THB-VO14-2295020","295020","溪洲","Xizhou","22.84269","120.46421"
"THB-VO14-2295021","295021","7-11溪洲門市","7-11 Xizhou Store","22.83974","120.46319"
"THB-VO14-2295022","295022","公園仔","Gongyuanzi","22.83775","120.46265"
"THB-VO14-2295023","295023","大洲國中","Dazhou Junior High School","22.83515","120.46242"
"THB-VO14-2295024","295024","新光里","Xinguang Village","22.8323","120.46258"
"THB-VO14-2295025","295025","大竹圍","Dazhuwei 318","22.82444","120.46229"
"THB-VO14-2295026","295026","尚和","Shanghe","22.8148","120.46155"
"THB-VO14-2295027","295027","欉仔坑","Congzikeng","22.80936","120.46149"
"THB-VO14-2295028","295028","南勝湖","Nanshenghu","22.79996","120.45902"
"THB-VO14-2295029","295029","德勝巷","Desheng Lane","22.79698","120.45815"
"THB-VO14-2295030","295030","砂石場","Shashichang","22.79031","120.45608"
"THB-VO14-2295031","295031","嶺口","Lingkou","22.7738","120.44921"
"THB-VO14-2295032","295032","坊崁","Fangkan","22.76136","120.44675"
"THB-VO14-2295033","295033","統嶺坑","Tonglingkeng","22.75593","120.44765"
"THB-VO14-2295034","295034","佛陀紀念館","Buddha Memorial center","22.754783","120.446663"
"THB-VO14-2295035","295035","佛光山","Foguangshan","22.7495","120.44706"
"THB-VO14-2300031","300031","臺東轉運站","Taitung Bus Station","22.751588","121.14805"
"THB-VO14-296102","96102","中央市場","Zhongyang Market","22.75457","121.14973"
"THB-VO14-296103","96103","署東醫院","Taitung Hospital","22.757231","121.149968"
"THB-VO14-292645","92645","變電所","Transformer Substation","22.761042","121.144565"
"THB-VO14-2275475","275475","舊縣議會","Consultative  Council","22.76223","121.14285"
"THB-VO14-296431","96431","更生四維路口","Gengsheng Siwei Rd. Intersection","22.764973","121.13937"
"THB-VO14-2238991","238991","馬蘭加油站","Malan Gas Station","22.76745","121.13689"
"THB-VO14-292650","92650","公東高工","Kungtung Technical Senior High School","22.7689","121.13551"
"THB-VO14-2242597","242597","馬蘭榮家","Malan Veterans Home","22.77263","121.13166"
"THB-VO14-2135239","135239","卑南入口","Beinan Entrance","22.77851","121.12719"
"THB-VO14-2282514","282514","進德入口","Jinde Entrance","22.78606","121.12765"
"THB-VO14-2263264","263264","台東火車站","TRA Taitung Station","22.792953","121.123533"
"THB-VO14-295067","95067","台東大橋","Taitung Bridge","22.7890864310357","121.13199554051"
"THB-VO14-2135242","135242","大橋營口","Daqiaoyingkou","22.79191","121.14645"
"THB-VO14-296117","96117","凌霄寶殿","Lingxiao Temple","22.79062","121.15019"
"THB-VO14-296118","96118","富源橋","Fuyuan Bridge","22.79101","121.15231"
"THB-VO14-295071","95071","下農場","Xianongchang","22.790137","121.154953"
"THB-VO14-2135245","135245","利吉入口","Liji Entrance","22.78681","121.15784"
"THB-VO14-2190416","190416","石川入口","Shichuan Entrance","22.78663","121.16088"
"THB-VO14-295074","95074","石山新村","Shishan Village","22.78465","121.16"
"THB-VO14-296908","96908","雷達站","Radar Station","22.77728","121.17584"
"THB-VO14-296124","96124","海堡","Haibao","22.78013","121.17844"
"THB-VO14-2190421","190421","海濱路","Haibin Rd.","22.78841","121.18313"
"THB-VO14-2279442","279442","富岡橋","Fugang Bridge","22.79033","121.18454"
"THB-VO14-2135250","135250","富岡","Fugang","22.79319","121.18717"
"THB-VO14-295348","95348","富岡新村","Fugang Village","22.79341","121.19209"
"THB-VO14-296128","96128","富岡國小","Fugang Elementary School","22.79457","121.19422"
"THB-VO14-296913","96913","小野柳","Xiaoyeliu","22.79643","121.19568"
"THB-VO14-296130","96130","神鷹哨","Shenyingshao","22.80319","121.1968"
"THB-VO14-296915","96915","蘭埔","Lanpu","22.80774","121.19604"
"THB-VO14-2135915","135915","加路蘭","Jialulan","22.81637","121.19194"
"THB-VO14-296133","96133","漁場","Yuchang","22.82189","121.18898"
"THB-VO14-295086","95086","入江橋","Rujiang Bridge","22.82424","121.18909"
"THB-VO14-2135918","135918","刺桐","Citong","22.8283","121.18597"
"THB-VO14-296136","96136","杉原","Shanyuan","22.83123","121.185085"
"THB-VO14-2238928","238928","真砂橋","Zhensha Bridge","22.83661","121.18633"
"THB-VO14-296138","96138","富山漁業區","Toyama fishing industry area","22.83908","121.18738"
"THB-VO14-295338","95338","黃金海岸","Huangjin Coast","22.84307","121.18861"
"THB-VO14-2190436","190436","郡界","Junjie","22.85062","121.19138"
"THB-VO14-2238729","238729","南郡界","Nanjunjie","22.85266","121.19262"
"THB-VO14-296141","96141","北郡界","Beijunjie","22.854829","121.195476"
"THB-VO14-296926","96926","新蘭","Xinlan","22.86032","121.20083"
"THB-VO14-2135264","135264","漁澳","Yu-ao","22.86509","121.21034"
"THB-VO14-296144","96144","漁橋","Yuqiao","22.8669","121.21685"
"THB-VO14-296145","96145","水上流","Shuishangliu","22.868","121.22064"
"THB-VO14-296146","96146","下都蘭","Xiadoulan","22.87044","121.22501"
"THB-VO14-2135209","135209","都蘭B","Doulan(B)","22.87271","121.22707"
"THB-VO14-2135268","135268","都蘭A","Doulan(A)","22.87422","121.22842"
"THB-VO14-296932","96932","都橋","Douqiao","22.8785","121.23088"
"THB-VO14-296149","96149","工廠橋","Gongchang Bridge","22.8845612889315","121.236317562931"
"THB-VO14-296150","96150","東和工廠","Donghe Factory","22.88952","121.24445"
"THB-VO14-2238980","238980","興昌社區","Xingchang Community","22.89206","121.24656"
"THB-VO14-2135273","135273","興昌","Xingchang","22.89391","121.24735"
"THB-VO14-296936","96936","興隆國小","Xinglong Elementary School","22.89614","121.2483"
"THB-VO14-296937","96937","貝橋","Beiqiao","22.89836","121.24947"
"THB-VO14-2135276","135276","羊橋","Yangqiao","22.90228","121.25159"
"THB-VO14-2135277","135277","堅石橋","Jianshi Bridge","22.90899","121.26073"
"THB-VO14-2135278","135278","興隆","Xinglong","22.91493","121.26381"
"THB-VO14-296157","96157","隆昌變電所","Longchang Transformer Substation","22.92387","121.26662"
"THB-VO14-2135280","135280","隆昌","Longchang","22.92576","121.26784"
"THB-VO14-2238986","238986","北隆昌","Beilongchang","22.92756","121.26905"
"THB-VO14-296943","96943","海巡防哨站","Coast Guard Sentry Station","22.93307","121.27436"
"THB-VO14-296160","96160","七里橋","Qili Bridge","22.93874","121.27706"
"THB-VO14-2135284","135284","金樽休憩站","Jinzun Rest Area","22.94566","121.27967"
"THB-VO14-2135285","135285","小瀧橋","Xiaolong Bridge","22.94875","121.28108"
"THB-VO14-296162","96162","金樽","Jinzun","22.95881","121.28962"
"THB-VO14-2135287","135287","的成橋","Decheng Bridge","22.9616","121.29497"
"THB-VO14-295117","95117","知路橋","Zhilu Bridge","22.96489","121.2989"
"THB-VO14-296165","96165","東河電力所","Donghe Transformer Substation","22.967217","121.301353"
"THB-VO14-2275483","275483","東河","Donghe","22.9692","121.30334"
"THB-VO14-296166","96166","東河包子","Donghe Buns","22.96906","121.30508"
"THB-VO14-2135291","135291","東河橋","Donghe Bridge","22.97415","121.30695"
"THB-VO14-2135292","135292","東河溪","Donghexi","22.97907","121.30911"
"THB-VO14-2135353","135353","道班房","Daobanfang","22.9847","121.31141"
"THB-VO14-2135352","135352","隧道","Suidao","22.9876730289043","121.312317919602"
"THB-VO14-296955","96955","噴水","Penshui","22.99222","121.31378"
"THB-VO14-296956","96956","小馬教會","Xiaoma Church","22.99596","121.31514"
"THB-VO14-2135349","135349","小馬","Xiaoma","22.99767","121.31618"
"THB-VO14-296958","96958","小馬橋","Xiaoma Bridge","23","121.31769"
"THB-VO14-2190477","190477","新哨村","Xinshao Village","23.00761","121.32357"
"THB-VO14-2135346","135346","新村","Xincun","23.01263","121.32402"
"THB-VO14-296961","96961","北新村","Beixin Village","23.01745","121.32651"
"THB-VO14-296962","96962","東管處","East Coast National Scenic Area","23.0199","121.32799"
"THB-VO14-296963","96963","池部安","Chibu-an","23.0241","121.32976"
"THB-VO14-2135461","135461","都歷","Douli","23.0271383517371","121.331955289815"
"THB-VO14-2135460","135460","北都歷","Beidouli","23.02966","121.33348"
"THB-VO14-2190484","190484","豐泉","Fengquan","23.037047482801","121.337570470331"
"THB-VO14-297016","97016","東興紙廠","Dongxing Papermaking","23.04119","121.33984"
"THB-VO14-2190486","190486","八翁班哨","Bawengbanshao","23.04757","121.34233"
"THB-VO14-2190487","190487","八翁翁","Bawengweng","23.05019","121.34316"
"THB-VO14-2190488","190488","福德橋","Fude Bridge","23.0535","121.34423"
"THB-VO14-2190489","190489","嘉平橋","Jiaping Bridge","23.05892","121.34447"
"THB-VO14-2135309","135309","嘉平5號橋","Jiaping 5th Bridge","23.06418","121.3456"
"THB-VO14-2135310","135310","嘉平","Jiaping","23.06602","121.34599"
"THB-VO14-2135332","135332","隴乃橋","Longnai Bridge","23.07158","121.34899"
"THB-VO14-2135331","135331","和平國小","Heping Elementary School","23.07559","121.3521"
"THB-VO14-296972","96972","八邊橋","Babian Bridge","23.07928","121.35358"
"THB-VO14-2135329","135329","八邊","Babian","23.08342","121.35347"
"THB-VO14-297024","97024","教堂","Church","23.08804","121.35582"
"THB-VO14-296975","96975","麒麟","Qilin","23.09316","121.35681"
"THB-VO14-296976","96976","北麒麟","Beiqilin","23.09585","121.35823"
"THB-VO14-297027","97027","三民國小","Sanmin Elementary School","23.10085","121.36977"
"THB-VO14-296978","96978","測候所","Weather station","23.09905","121.37389"
"THB-VO14-296979","96979","成功前站","Chenggong Station","23.0999820352809","121.377122537012"
"THB-VO14-295618","95618","成功市場","Chenggong Market","23.1011569663893","121.38037141638"
"THB-VO14-2135320","135320","成功總站","Chenggong Bus Terminal","23.105","121.38"
