Regent,Price
2013/5/27,227.58
2013/5/28,228.91
2013/5/29,230.25
2013/5/30,228.91
2013/5/31,233.25
2013/6/3,233.58
2013/6/4,235.25
2013/6/5,232.92
2013/6/6,230.58
2013/6/7,234.92
2013/6/10,238.92
2013/6/11,238.26
2013/6/13,234.92
2013/6/14,234.59
2013/6/17,236.92
2013/6/18,238.26
2013/6/19,238.59
2013/6/20,238.59
2013/6/21,235.59
2013/6/24,236.92
2013/6/25,233.25
2013/6/26,232.92
2013/6/27,234.92
2013/6/28,235.59
2013/7/1,242.26
2013/7/2,245.6
2013/7/3,244.26
2013/7/4,242.26
2013/7/5,245.93
2013/7/8,243.59
2013/7/9,245.6
2013/7/10,249.27
2013/7/11,252.6
2013/7/12,252.6
2013/7/15,252.6
2013/7/16,250.6
2013/7/17,254.22
2013/7/18,256.27
2013/7/19,259
2013/7/22,270.62
2013/7/23,274.38
2013/7/24,268.23
2013/7/25,267.2
2013/7/26,269.25
2013/7/29,264.13
2013/7/30,263.1
2013/7/31,263.1
2013/8/1,262.42
2013/8/2,266.86
2013/8/5,266.86
2013/8/6,261.73
2013/8/7,251.14
2013/8/8,253.53
2013/8/9,255.58
2013/8/12,248.75
2013/8/13,244.99
2013/8/14,249.43
2013/8/15,245.82
2013/8/16,247.7
2013/8/19,248.45
2013/8/20,245.44
2013/8/22,245.44
2013/8/23,244.69
2013/8/26,243.19
2013/8/27,241.31
2013/8/28,245.07
2013/8/29,246.57
2013/8/30,248.45
2013/9/2,246.94
2013/9/3,251.08
2013/9/4,249.58
2013/9/5,249.95
2013/9/6,254.46
2013/9/9,253.33
2013/9/10,255.97
2013/9/11,256.34
2013/9/12,261.6
2013/9/13,264.23
2013/9/14,261.98
2013/9/16,258.6
2013/9/17,257.47
2013/9/18,254.84
2013/9/23,259.35
2013/9/24,258.97
2013/9/25,257.47
2013/9/26,255.21
2013/9/27,254.46
2013/9/30,249.58
2013/10/1,248.07
2013/10/2,250.33
2013/10/3,252.96
2013/10/4,250.33
2013/10/7,249.2
2013/10/8,247.7
2013/10/9,248.07
2013/10/11,246.57
2013/10/14,248.07
2013/10/15,251.08
2013/10/16,250.33
2013/10/17,249.95
2013/10/18,260.85
2013/10/21,259.35
2013/10/22,259.72
2013/10/23,257.47
2013/10/24,257.47
2013/10/25,256.34
2013/10/28,256.72
2013/10/29,257.85
2013/10/30,259.35
2013/10/31,265.74
2013/11/1,266.11
2013/11/4,262.36
2013/11/5,260.48
2013/11/6,260.48
2013/11/7,260.48
2013/11/8,255.21
2013/11/11,252.58
2013/11/12,251.46
2013/11/13,249.2
2013/11/14,248.82
2013/11/15,251.83
2013/11/18,250.33
2013/11/19,251.08
2013/11/20,248.07
2013/11/21,245.44
2013/11/22,245.07
2013/11/25,245.07
2013/11/26,247.32
2013/11/27,249.58
2013/11/28,252.58
2013/11/29,255.59
2013/12/2,256.72
2013/12/3,254.46
2013/12/4,255.59
2013/12/5,255.21
2013/12/6,251.83
2013/12/9,253.71
2013/12/10,252.58
2013/12/11,252.21
2013/12/12,251.46
2013/12/13,251.08
2013/12/16,248.45
2013/12/17,249.58
2013/12/18,255.59
2013/12/19,252.21
2013/12/20,252.21
2013/12/23,253.33
2013/12/24,251.83
2013/12/25,251.83
2013/12/26,251.83
2013/12/27,254.09
2013/12/30,254.09
2013/12/31,255.59
2014/1/2,253.71
2014/1/3,251.83
2014/1/6,251.83
2014/1/7,251.83
2014/1/8,251.83
2014/1/9,250.33
2014/1/10,251.08
2014/1/13,251.83
2014/1/14,251.83
2014/1/15,253.71
2014/1/16,250.7
2014/1/17,251.08
2014/1/20,251.46
2014/1/21,251.08
2014/1/22,251.46
2014/1/23,249.95
2014/1/24,252.58
2014/1/27,251.08
2014/2/5,247.7
2014/2/6,245.82
2014/2/7,246.19
2014/2/10,245.44
2014/2/11,246.19
2014/2/12,246.94
2014/2/13,245.82
2014/2/14,249.95
2014/2/17,252.96
2014/2/18,254.09
2014/2/19,252.96
2014/2/20,254.09
2014/2/21,255.59
2014/2/24,256.34
2014/2/25,255.97
2014/2/26,255.59
2014/2/27,255.59
2014/3/3,256.34
2014/3/4,255.21
2014/3/5,255.59
2014/3/6,257.85
2014/3/7,257.85
2014/3/10,260.1
2014/3/11,257.85
2014/3/12,258.6
2014/3/13,261.6
2014/3/14,261.98
2014/3/17,262.36
2014/3/18,268.75
2014/3/19,267.24
2014/3/20,264.99
2014/3/21,265.36
2014/3/24,265.36
2014/3/25,268.37
2014/3/26,270.62
2014/3/27,269.12
2014/3/28,267.62
2014/3/31,271.38
2014/4/1,272.13
2014/4/2,274.38
2014/4/3,278.14
2014/4/7,275.89
2014/4/8,280.77
2014/4/9,279.65
2014/4/10,281.52
2014/4/11,276.64
2014/4/14,271.75
2014/4/15,275.89
2014/4/16,275.14
2014/4/17,276.64
2014/4/18,278.14
2014/4/21,278.14
2014/4/22,278.89
2014/4/23,278.14
2014/4/24,275.89
2014/4/25,268.37
2014/4/28,267.62
2014/4/29,269.87
2014/4/30,266.87
2014/5/2,269.5
2014/5/5,267.62
2014/5/6,267.62
2014/5/7,267.99
2014/5/8,266.49
2014/5/9,265.36
2014/5/12,266.87
2014/5/13,265.36
2014/5/14,267.99
2014/5/15,264.61
2014/5/16,266.87
2014/5/19,264.23
2014/5/20,266.49
2014/5/21,264.61
2014/5/22,265.36
2014/5/23,266.11
2014/5/26,264.61
2014/5/27,265.36
2014/5/28,267.62
2014/5/29,268.75
2014/5/30,265.74
2014/6/3,264.61
2014/6/4,264.61
2014/6/5,265.36
2014/6/6,264.23
2014/6/9,267.62
2014/6/10,270.62
2014/6/11,274.38
2014/6/12,271.38
2014/6/13,272.88
2014/6/16,270.62
2014/6/17,268.75
2014/6/18,266.87
2014/6/19,267.62
2014/6/20,269.12
2014/6/23,269.87
